Country,Region,Year,Month,Type_of_Tourism,Tourist_Arrivals,Sales,Profit,Average_Spend_Per_Visitor,Operating_Costs,Marketing_Spend,Number_of_Hotels,Tourism_Sector_Employment,Satisfaction_Score
Italy,Western Europe,2023,February,Eco-tourism,120691,311820.44,436952.53,1516.65,66794.75,27468.48,631,58800,8.28
Italy,Western Europe,2023,January,Leisure,327508,211260.64,233550.73,4091.39,143445.49,17241.99,4288,86699,5.76
Netherlands,Western Europe,2021,March,Adventure,159250,93674.8,279653.24,4630.23,187171.58,28300,3380,3492,9.22
Canada,Australia,2023,March,Cultural,421521,77141.51,57213.46,3624.33,68661.31,34612.23,127,14516,9.26
France,Australia,2022,December,Adventure,371206,924824.38,423832.04,1731.6,108518.2,40064.6,832,78976,4.06
France,Western Europe,2023,November,Adventure,400598,866402.96,478980.69,2716.27,5078.71,26253.2,628,79121,3.89
Germany,North America,2022,February,Cultural,274477,680132.2,301473.09,3189.86,109339.68,44866.7,3783,54087,6.07
UK,North America,2023,March,Adventure,252301,586536.64,93356.16,4095.91,130557.46,27459.64,2736,65835,2.3
Spain,Australia,2021,June,Leisure,253018,894771.1,8759.74,1343.69,124725.4,3316.38,4102,30054,8.4
Germany,North America,2020,October,Adventure,24872,742655.64,339255.74,2910.55,144781.98,21836.95,2567,46755,8.43
Netherlands,North America,2020,May,Medical,280147,308952.62,43494.22,2165.43,44672.35,28348.28,3759,55338,7.71
Italy,North America,2020,September,Cultural,348020,751931.18,469254.36,526.67,90407.27,23171.24,1091,50503,6.67
UK,North America,2021,August,Adventure,204404,882248.39,50878.63,1397.53,102747.53,19223.96,3579,24621,8.23
France,North America,2020,May,Medical,27782,689104.18,127840.59,4257,144543.34,9743.13,852,79377,2.41
USA,Western Europe,2022,December,Medical,78258,61017.92,301511.9,2981.64,83190.73,45048.98,1046,38115,8.32
UK,Western Europe,2021,January,Adventure,237028,763730.08,387483.85,3447.92,125511.67,45846.49,4577,35260,9.3
UK,Australia,2020,February,Cultural,434074,409752.35,484529.45,1093.61,161778.98,4990.97,393,57202,1.48
France,Australia,2023,March,Cultural,303385,329233.47,141761.17,1900.3,185837.5,25126.34,330,83623,5.7
Italy,North America,2020,April,Cultural,266626,228380.08,480751.42,3649,98673.73,34263.25,3745,51358,3.91
Italy,North America,2020,May,Adventure,410457,471883.81,175486.58,1717.37,68700.04,26590.41,2539,75695,1.49
Germany,Western Europe,2020,October,Adventure,10206,617348,146616.26,3141.48,121323.63,28117.98,1451,33018,8.09
Australia,Australia,2020,July,Eco-tourism,357492,610986.93,75926.8,2031.22,58712.31,35714.33,2297,95600,9.82
Spain,Western Europe,2021,June,Eco-tourism,96756,585262.99,150660.53,1823.34,94564.42,32944.34,3093,83376,5.24
Switzerland,North America,2020,January,Eco-tourism,29646,758331.18,143440.4,1214.91,150469.7,40028.57,3207,92515,6.4
Switzerland,Western Europe,2023,October,Eco-tourism,487894,932701.96,458048.58,4669.97,173971.61,41497.72,2896,78662,2.8
Australia,Western Europe,2022,May,Eco-tourism,406358,236877.12,173207.66,4147.74,171612.91,7162.82,396,77225,5.64
UK,North America,2021,March,Eco-tourism,190361,918231.9,99838.13,1834.94,34397.71,7905.58,4744,42826,6.94
Netherlands,North America,2020,October,Medical,379670,787701.19,447973.11,3638.55,32216.87,21522.65,4527,15299,5.91
Spain,Western Europe,2020,July,Eco-tourism,405203,997518.67,189033.17,4386.18,124388.84,48060.73,455,45230,7.41
Netherlands,Australia,2022,May,Eco-tourism,275248,99763.48,320579,1920.12,134410.07,29303.74,2185,56542,3.25
Germany,Australia,2021,April,Leisure,120696,263343.36,78220.01,3941.26,17810.93,16210.59,254,21641,4.49
UK,Australia,2021,January,Medical,272490,356807.81,357293.71,630.43,108040.21,22514.91,1946,12091,6.83
France,Western Europe,2022,March,Leisure,262750,439843.96,379119.29,3724.24,13481.1,11551.27,942,61340,9.83
Germany,North America,2020,April,Medical,16125,502305.75,91691.76,4970.91,163242.48,9043.96,188,7740,9.48
USA,Western Europe,2021,June,Medical,413071,523397.92,322794.13,2843.03,183868.64,48970.76,3389,50743,8.02
USA,North America,2023,January,Leisure,242150,364207.86,322574.2,3738.87,85601.78,42007.11,2761,8822,1.33
UK,Australia,2022,July,Cultural,222808,729402.72,346350.92,1646.17,47332.57,22563.78,4220,51331,7.23
UK,Western Europe,2022,February,Leisure,470896,687336.71,163137.57,1330.76,99735.56,26631.89,2765,53192,6.45
Switzerland,Australia,2023,January,Cultural,320427,789426.87,163253.55,1751.29,106335.49,43849.06,722,8806,3.61
Germany,Western Europe,2020,December,Medical,144269,455965.74,182889.3,3838.53,188322.06,47391.41,3722,1562,9.53
France,Australia,2023,September,Medical,385592,371520.35,95403.77,728.8,96227.8,34137.17,96,30994,6.77
Canada,Australia,2021,February,Leisure,153239,44312.18,346205.41,2888.29,132243.18,18172.71,2199,61510,5.92
UK,North America,2021,December,Cultural,428313,964645.88,51272.54,4532.75,44226.45,32550.29,3143,50582,6.56
Canada,Western Europe,2020,May,Adventure,475454,890782.96,118114.38,4109.18,122379.43,33589.02,2406,11121,1.22
Switzerland,North America,2021,December,Cultural,433459,449223.07,499700.23,1141.57,142268.58,1512.93,2521,45332,2
Australia,Western Europe,2023,March,Cultural,184559,249618.56,495310.94,4558.53,12676.69,27297.78,3041,78239,8.55
Italy,Australia,2021,August,Eco-tourism,125671,182042.55,98929.81,2126.82,179657.03,26134.9,3641,98904,6.77
USA,Western Europe,2022,June,Leisure,90710,694023.92,287011.78,4659.71,137725.56,31102.81,4261,70976,4.25
Australia,Australia,2022,June,Medical,476183,534718.31,406135.63,4106.15,68071.97,20477.5,3847,64798,6.84
Switzerland,Western Europe,2020,December,Adventure,288453,553780,278822.82,736.2,175286.69,12966.13,469,48286,4.14
Italy,North America,2020,November,Leisure,447750,539900.69,376641.83,3399.13,60147.2,31105.71,1140,25022,3.75
Germany,Western Europe,2020,May,Eco-tourism,288405,932471.36,286234.27,1749.73,127786.28,36039.88,3292,9637,9.05
France,North America,2021,April,Eco-tourism,173822,824076.07,5501.42,4802.1,65766.48,14562.22,437,76954,3.28
USA,North America,2023,November,Cultural,68210,247798.4,415366.29,2789.81,61135.93,47781.02,3800,78079,3.68
Italy,Australia,2020,April,Medical,485453,526220.09,399064.82,2391.31,146811.07,17687.51,1113,39931,2.55
Canada,North America,2021,August,Eco-tourism,290471,975985.9,417396.92,4000.83,41178.72,10063.45,2772,6108,2.84
Switzerland,Australia,2023,February,Adventure,449891,636274.22,392369.7,3465.44,136378.23,35568.63,2120,62676,2.43
Spain,Australia,2020,June,Leisure,484501,77556.26,164220.76,2171.83,91479.1,1329.4,2725,39706,9.79
UK,Western Europe,2023,February,Adventure,68736,931435.77,74129.13,1620.57,193833.46,29505.24,3136,14649,1.15
Switzerland,Western Europe,2022,March,Eco-tourism,24395,986649.93,447182.57,1644.76,152839.13,5606.26,1026,23691,7.09
Canada,North America,2021,July,Cultural,425396,571506.33,74769.49,3434.1,33173.99,9838.77,2038,23524,7.96
France,North America,2022,September,Leisure,322049,51414.86,305923.9,2728.93,90733.05,18088.12,3828,5308,4.63
Australia,Western Europe,2021,October,Eco-tourism,423257,331340.68,317532.8,1245.29,72573.66,43482.56,2618,78034,9.03
Italy,Australia,2022,August,Leisure,264594,504077.64,93148.56,4699.27,85799.61,1874.91,2265,32964,7.24
France,Australia,2020,January,Cultural,337079,454250.81,462461.51,704.13,186309.91,3514.34,4258,20031,6.4
Italy,Australia,2023,March,Adventure,179090,61164.06,128908.49,3571.1,110453.34,2312.41,4821,99745,2.23
USA,North America,2022,February,Cultural,478795,269296.59,360684.96,4398.39,168389.45,34194.27,2195,84566,2.93
UK,North America,2022,May,Eco-tourism,499597,401205.55,255807.07,1034.31,137131.19,7440.04,2466,74632,3.24
Switzerland,North America,2022,May,Leisure,109964,455790.37,162788.14,1656.4,11836.46,29640.75,3889,12968,7.63
Germany,North America,2020,January,Cultural,164723,820842,446374.54,1104.59,23960.49,11970.44,199,45400,2.9
Canada,North America,2020,May,Adventure,195430,460080.1,337212.71,2514.32,57001.42,20401.18,936,23086,9.24
Germany,Western Europe,2022,October,Cultural,279783,596498.45,349179.81,1387.57,164765.92,1223.96,4592,41260,4.88
Germany,Australia,2020,November,Eco-tourism,63462,896304.77,136736.38,4575.69,101449.08,26182.47,1643,15319,3.75
Australia,Australia,2021,February,Adventure,90841,955940.6,280564.64,2701.62,10220.69,23740.27,4193,18381,3.11
Netherlands,Western Europe,2022,July,Medical,11007,258825.11,259165.61,4487.53,193967.65,36455.64,3039,99083,7.11
Germany,Australia,2020,February,Medical,97818,518757.77,381774.28,3952.72,159819.65,18104.12,1912,27167,8.71
UK,Western Europe,2023,March,Eco-tourism,367895,996458.46,395736.31,4641.41,14687.1,36394.07,4392,93124,5.35
Spain,North America,2020,March,Medical,395295,42088.08,174955.31,1735.57,139491.55,37371.85,3560,61672,7.64
Italy,Western Europe,2023,October,Adventure,396011,999222.36,205182.08,4181.53,147285.54,7410.79,2857,23650,3.81
Spain,Australia,2023,April,Cultural,182864,303273.88,494473.08,2912.56,167177.29,10615.12,4393,46809,7.83
UK,Australia,2022,January,Adventure,314615,670696.09,234660.71,2439.85,168435.15,26682.21,381,18930,5.48
Netherlands,Western Europe,2021,June,Adventure,60019,535328.01,453218.14,1377.48,176402.5,44993.57,1652,57235,4.7
Switzerland,Western Europe,2021,June,Adventure,403062,645174.9,96123.57,3529.34,178662.46,23367.04,4345,40744,6.91
France,Western Europe,2022,June,Leisure,329219,995440.25,261074.4,3674.06,18954.98,41414.21,2814,66419,4.56
Netherlands,Australia,2020,August,Medical,69069,208584.14,298909.53,3176.16,156495.68,44998.46,2047,76473,4.76
Australia,Australia,2022,March,Adventure,499643,996859.26,276524.43,3659.57,89073.92,22159.36,758,44884,9.23
Italy,Australia,2023,October,Leisure,98774,627043.31,200996.02,3927.81,15100.61,48226.36,4498,19689,2.91
UK,Australia,2021,June,Cultural,357397,558659.16,52627.45,716.46,53631.93,32226.3,290,14676,9.62
Canada,North America,2022,June,Eco-tourism,202396,637378.06,170653.88,4849.51,147882.52,30836.15,1624,44527,7.09
France,Western Europe,2022,December,Leisure,137039,384844.45,265254.69,3068.75,36684.14,34094.61,2949,81140,3.68
Netherlands,Western Europe,2020,May,Adventure,217147,541490.62,215543.7,1563.05,63281.98,39077.91,1099,68975,2
Italy,Western Europe,2022,October,Adventure,148725,787188.68,496812.6,1517.94,110750.11,40228.93,773,55175,2.17
Canada,North America,2021,January,Eco-tourism,354571,999786.15,74361.29,2607.01,124415.91,37009.12,1207,47707,1.09
Germany,North America,2021,June,Adventure,214856,667643.89,461271.12,2201.09,190952.2,38370.29,4183,82853,3.87
Canada,Western Europe,2021,November,Medical,132672,821981.27,311730.53,4595.19,15086.64,48515.52,688,46757,1.99
France,Western Europe,2020,October,Cultural,71370,462514.88,180650.14,2418.04,54372.84,7451.09,354,99731,9.17
USA,Australia,2023,April,Eco-tourism,404174,772836.8,375393.82,3395.63,94431.73,3338.76,4235,70267,1.73
Australia,Western Europe,2020,August,Leisure,229745,826110.37,374880.77,1371.37,188431.47,17691.77,885,67952,4.39
USA,Western Europe,2020,January,Eco-tourism,86656,790702.65,490272.1,4869.47,43221.22,24794.38,1030,24423,1
Canada,Australia,2023,February,Cultural,270976,225911.17,81025.4,1043.94,129436.37,48092.15,4363,92808,5.05
USA,North America,2023,August,Medical,218055,308699.15,463896.89,3676.02,39269.87,46346.35,2106,65825,3.67
Netherlands,North America,2022,March,Leisure,485837,384918.2,104535.9,3535.42,104794.99,2715.81,4783,54647,3.64
Netherlands,Australia,2021,February,Leisure,41291,50017.81,481550.6,3733.51,143492.58,20463.38,1164,17067,2.66
UK,Australia,2023,December,Leisure,241220,488454.53,34334.53,4765.01,160086.02,39498.34,3575,99161,9.57
France,North America,2023,May,Cultural,164241,403945.79,279775.88,2841.54,83289.47,18318.55,4576,94462,2.86
Australia,Western Europe,2023,January,Leisure,90375,623751.75,108379.79,3661.72,17959.19,25434.52,1234,51225,3.73
Spain,North America,2021,January,Medical,231154,528372.56,420187.05,1627.83,20168.33,7432.44,2425,22169,9.35
France,Australia,2020,February,Medical,408527,531424.14,209626.35,2590,36742.89,14835.92,3961,94434,2.33
UK,North America,2023,June,Leisure,355430,883006.01,240305.78,4051.07,108062.58,14319.49,1224,20843,6.56
France,Australia,2023,August,Adventure,366892,564338.32,34772.39,4085.82,6374.27,3087.27,3663,33402,4.72
Germany,Australia,2023,June,Leisure,260032,751859.75,469467.64,4396.28,27746.65,19483.92,2894,43928,5.2
Spain,North America,2023,April,Cultural,119205,634723.37,318121.61,4540.14,27866.93,40403.19,960,63528,7.34
Switzerland,Western Europe,2022,October,Adventure,471328,423735.69,12141.82,2623.34,96293.29,35852.86,1829,77735,4.27
Germany,Australia,2022,April,Cultural,101374,454035.47,177859.21,2068.68,113069.35,5193.04,4613,93329,2.31
Canada,Western Europe,2022,February,Adventure,286513,37585.82,287993.87,3257.89,106384.95,39750.7,4204,65758,7.37
France,Western Europe,2023,March,Leisure,267735,183637.27,334908.22,1442.96,92222.38,28261.57,3606,13500,8.85
Australia,North America,2020,February,Cultural,363303,829306.3,484148.39,2815.34,136856.18,46150.56,1173,16039,4.49
Switzerland,Australia,2021,February,Medical,240713,946834.97,242710.97,991.39,197762.76,1126.13,3724,81172,2.02
Spain,Western Europe,2020,September,Adventure,262268,70591.31,145174.34,715.19,22471.74,1610.16,2629,25743,6.55
France,Western Europe,2020,September,Adventure,268478,231440.37,25709.41,4558.09,19406.89,40597.69,415,38741,9.52
Canada,North America,2022,November,Leisure,213922,483348.01,289194.08,2938.92,151592.61,22997.84,3013,3119,1.74
Switzerland,North America,2023,April,Medical,204353,863303.27,108261.22,2496.51,130375.6,16339.68,4296,27520,6.8
Switzerland,North America,2023,January,Cultural,396409,331164.42,383427.51,2159.34,107030.78,19956.95,167,81671,7.46
Italy,Australia,2023,January,Adventure,249892,182765.83,187379.67,3354.07,102735.19,5907.8,89,19181,9.6
UK,Australia,2023,February,Adventure,159327,44285.33,185952.92,1896.08,92164.41,26221.88,4706,59052,7.9
USA,Western Europe,2022,September,Cultural,433546,521065.12,33547.07,4117.68,163581.69,24907.81,3137,60196,9.02
France,Western Europe,2022,April,Leisure,464090,355361.57,157003.75,2317.69,177880.97,43799.65,3973,10448,7.39
Switzerland,Australia,2020,January,Leisure,84574,412297.39,147839.75,3859.52,79157.02,12016.73,3352,17455,3.13
USA,North America,2022,July,Leisure,310330,876197.82,388889.01,2844.74,198264.67,45837.33,1792,60826,2.88
Germany,Western Europe,2020,July,Medical,226242,319179.68,449840.6,1753.62,27819.96,35604.94,2319,45536,6.87
UK,Western Europe,2021,November,Adventure,168851,600577.17,126885.36,4444.2,135557.7,35853.18,1187,60351,7.13
Switzerland,Australia,2023,December,Eco-tourism,247947,311837.88,154391.56,4215.71,129432.47,47576.62,684,41146,3.01
USA,Western Europe,2021,March,Leisure,247449,667762.2,142188.69,4957.36,118992.89,31447.79,3481,80106,1.52
USA,Western Europe,2023,March,Adventure,158345,212072.64,381251.82,4991.46,60806.91,26453.89,510,27437,7.13
Spain,Western Europe,2021,July,Medical,194759,877207.04,346133.87,4674.36,37945.41,47940.24,2870,83824,9.06
France,Western Europe,2022,December,Adventure,256230,663547.36,227964.78,3912.87,123215.27,28609.16,2204,38750,5.28
Germany,Australia,2021,January,Adventure,268784,891218.59,253063.75,4054.16,80052.26,18159.59,843,9988,4.48
UK,Australia,2023,February,Cultural,117882,384588.34,441339.82,4146.05,118617.74,14524.11,3501,11294,2.19
UK,North America,2022,August,Adventure,345577,744500.95,120821.82,3492.41,69407.68,38515.07,4592,23826,6.61
Canada,Western Europe,2023,December,Adventure,392247,991247.03,349560.72,783.88,43055.05,5034.37,1667,4661,4.26
Australia,Australia,2022,September,Cultural,190135,151044.67,288171.76,4678.15,147432.48,24330.86,3758,6774,9.86
Italy,Western Europe,2021,September,Medical,202194,852948.09,491196.08,4313.84,38459.61,6934.38,2471,74447,4.79
UK,Australia,2023,July,Leisure,177208,975277.29,383565.43,2029.09,145773.55,37675.14,1912,64125,1.86
UK,Australia,2023,June,Adventure,353426,579867.1,158396.73,3565.84,185654.39,27956.32,945,31535,4.79
Canada,North America,2020,March,Adventure,193231,341050.8,43715.19,3305.71,146939.45,11223.05,4093,44271,3.89
Italy,Australia,2023,October,Leisure,58592,330482.55,419616.89,3045.86,84875.3,30709.82,2612,6757,2.66
Switzerland,Western Europe,2022,May,Medical,249344,511235.35,140132.92,4158.67,22312.35,9599.71,2214,25654,2.89
Italy,North America,2020,March,Eco-tourism,394474,871900.54,488074.12,4309.95,137867.56,42192.35,3466,61579,7.27
Australia,Western Europe,2021,February,Adventure,397775,947147.17,434962.36,4797.8,41231.25,43225.22,3795,65255,5.92
France,Western Europe,2020,September,Adventure,486487,981063.39,437122.41,1491.22,21391.05,4733.52,2327,1744,8.85
Switzerland,Australia,2023,June,Medical,114842,793791.49,122887.74,1625.61,36743.97,18856.23,4680,59813,3.24
Australia,North America,2022,May,Medical,189992,334240.44,124539.52,4370.92,156124.14,45134.8,1622,67097,9.64
Australia,North America,2021,August,Adventure,494735,462920.08,470140.47,2484.21,133878.54,28479.67,3488,72880,3.31
Canada,North America,2023,December,Leisure,363735,557198.81,200275.27,1974.33,142745.5,25475.98,572,53994,7.1
France,Western Europe,2022,May,Adventure,250281,684764.03,275256.74,4895.43,63123.71,25610.25,3425,71384,8.81
France,Australia,2023,May,Eco-tourism,61018,598675.76,200185.4,4368.67,15839.61,16370.21,4066,43870,8.29
Spain,North America,2022,July,Eco-tourism,493167,97966.34,487624.13,4216.92,91752.02,18934.01,4084,74785,9.96
Spain,North America,2022,November,Adventure,320957,641648.2,447893.44,4051.57,109687.22,38424.25,2759,40692,5.43
Netherlands,North America,2021,December,Leisure,389170,315572.92,25003.1,1545.23,181063.41,15032.34,4257,87917,3.45
UK,North America,2021,August,Eco-tourism,268220,430412.53,215034.45,4223.12,44462.07,17909.73,626,88294,5.66
Australia,Australia,2022,March,Leisure,138771,243520.79,421913.91,3132.65,102238.27,21971.79,1672,56771,3.73
Switzerland,Western Europe,2023,June,Leisure,97689,607867.29,441639.11,4169.69,192908.43,6451.63,2708,44063,3.71
Australia,North America,2022,November,Cultural,396697,989127.09,11925.09,2028.19,193573.71,11221.12,4195,44101,8.35
Italy,Australia,2021,September,Adventure,95521,219193.17,27392.62,1926.75,187722.03,21064.43,2126,68602,4.04
Germany,Western Europe,2020,September,Eco-tourism,60055,824992.85,354986.63,3827.34,171710.77,5360.14,3756,89771,3.83
Australia,Western Europe,2021,March,Leisure,48480,412688.04,427809.55,4349.07,68988.49,6559.73,1170,51982,5.22
Spain,Western Europe,2021,July,Adventure,141448,104001.43,402404.93,2000.14,51118.67,49566.79,1101,61323,7.51
Netherlands,North America,2023,February,Medical,344667,837440.51,18110.23,4839.98,112736.92,36526.05,4574,60836,8.65
USA,North America,2022,November,Eco-tourism,172667,955520.91,403723.92,2940.9,136489.45,11351.41,4448,31845,6.12
Switzerland,Western Europe,2020,February,Leisure,465823,744755.72,434168.86,4810.01,69464.06,18404.6,3493,16943,2.23
Switzerland,North America,2022,March,Adventure,406753,216388.12,175643.88,3320.14,186529.68,35225.21,4398,42497,3.43
USA,North America,2020,March,Medical,374349,885362.64,378179.66,2521.9,100725.38,16281.39,1974,47672,6.78
Canada,Western Europe,2023,October,Eco-tourism,152928,394772.63,19282.16,1790.68,149422.74,49241.89,2771,75016,4.51
Switzerland,North America,2023,May,Leisure,364312,206123.95,213247.14,4358.98,166788.63,33481.66,1521,47835,7.37
Switzerland,Australia,2022,November,Adventure,414022,678764.64,195599.79,3696.67,52451.01,37915.5,3237,73601,1.3
Italy,Western Europe,2021,April,Adventure,78912,397942.99,410454.21,2552.03,115809.34,38463.85,2772,37281,8.96
Netherlands,North America,2023,January,Cultural,24953,436668.71,91437.51,1063.48,100301.94,6164.95,270,77206,3.29
Switzerland,North America,2021,September,Cultural,366054,519239.29,482477.41,551.55,131033.21,16376.88,3253,57380,3.82
France,Western Europe,2022,November,Leisure,287956,527323.22,10687.9,3959.48,179992.43,22627.75,3879,21120,2.08
Germany,Australia,2020,July,Cultural,38415,382354.04,266798.59,1381.81,10624.7,38149.42,3248,3801,8.16
UK,North America,2021,September,Eco-tourism,33691,475486.6,425693.25,2392.17,163776.85,39497.82,2704,89285,7.83
Switzerland,North America,2021,October,Cultural,198577,689945.04,112791.24,771.75,186133.88,27544,1307,89570,1.55
Australia,Western Europe,2022,September,Adventure,42424,457216.37,84926.22,3884.21,61588.39,48311.92,560,45577,4.31
USA,North America,2020,March,Medical,91461,547031.46,434620.79,3926.11,91857.3,27984.93,2667,1387,4.66
Netherlands,North America,2022,April,Adventure,51877,529377.4,181656.76,703.56,20635,12845.64,4066,30662,5.72
Italy,Australia,2021,September,Eco-tourism,306442,408971.81,229742.38,2717.51,178702.61,24469.98,3580,29197,9.62
Italy,North America,2021,February,Cultural,238675,498102.12,375259.01,1855.28,54622.93,27662.05,4104,23689,3.59
Italy,Australia,2021,December,Eco-tourism,92197,547975.59,471301.55,1349.42,147368.94,48863.89,584,50611,3.78
Italy,North America,2022,September,Leisure,113279,56986.24,449121.79,2358.85,53189.76,8124.39,4005,49310,3.63
Netherlands,Australia,2020,February,Eco-tourism,161272,295343.29,212080.53,2370.68,94426.93,41094.34,898,58463,9.69
UK,North America,2023,December,Eco-tourism,448416,349702.22,380427,689.63,96911.31,46083.09,507,91302,4.9
Germany,Western Europe,2020,May,Eco-tourism,450798,645078.01,60072.31,1120.78,33627.54,12653.24,2315,9213,7.37
Germany,Australia,2022,July,Cultural,166890,27763.96,484949.74,4225.45,187766.61,42012,1497,64308,3.61
Germany,Australia,2020,August,Medical,244164,145769.54,254810.12,3532.79,177154.13,23549.02,2735,25912,5.44
Spain,North America,2023,January,Adventure,469008,674292.97,368808.29,1971.65,198955.49,30770.31,4548,6395,9.08
Spain,North America,2020,August,Adventure,296307,727194.45,311666.02,1153.3,12249.55,42861.58,2400,54426,2.16
UK,Australia,2022,December,Adventure,326502,673697.23,212970.39,1114.92,13008.82,16093.05,1880,51106,1.96
Australia,North America,2020,October,Cultural,20822,367989.75,456701.02,3610.34,52138.57,32677.53,262,21425,1.47
Canada,North America,2022,August,Eco-tourism,147943,908172.05,147984.07,3136.21,189354.47,39142.35,4127,27719,2.04
Canada,Australia,2022,December,Adventure,412811,165447.79,301399.97,4908.54,71441.9,42697.57,1749,19768,8.81
Netherlands,Australia,2020,August,Leisure,192332,32879.85,313908.57,1696.29,181850.52,4187.77,3979,89125,4.55
Switzerland,Western Europe,2022,August,Cultural,402872,760164.63,304821.56,1972.66,28211.87,17095.25,2081,18668,5.65
UK,Australia,2021,July,Eco-tourism,315266,136453.9,281887.81,3974.98,24094.86,35332.8,2252,16648,1.86
Australia,Western Europe,2022,October,Cultural,142845,623420.95,410648.72,3041.57,46627.12,34976.32,476,64702,5.87
Australia,Australia,2020,July,Adventure,398750,492380.7,158519.75,560.12,20191.66,20261.67,1776,89745,9.65
Netherlands,Western Europe,2023,June,Adventure,101040,534557.72,300190.92,3167.89,95387.36,46297.05,1939,97134,7.28
Germany,Australia,2021,April,Medical,52627,536540.02,445524.1,689.89,66908.18,41717.84,2112,72029,2.67
Spain,Western Europe,2020,January,Cultural,241827,152240.17,449810.44,4261.36,55304.49,40233.96,3825,41498,3.35
UK,Australia,2020,August,Medical,356737,955401.37,267514.53,2112.41,192235.23,26726.08,478,4204,8.9
Australia,Australia,2023,June,Eco-tourism,304049,527763.27,39158.17,4670.1,41277.23,25544.9,1738,40953,7.58
UK,North America,2021,January,Cultural,97225,498200.89,392578.36,2794.31,81860.64,33623.13,1204,51695,6.47
Spain,Australia,2021,June,Eco-tourism,210687,29233.49,260013.56,2205.74,151356.8,41088.57,1898,96007,3.78
Australia,Western Europe,2021,April,Leisure,123657,916367.24,9732.78,4461.47,36131.49,11063.15,2512,83128,8.22
UK,Australia,2020,October,Medical,256557,938007.28,235423.04,3386.83,102276.69,30680.25,3531,4523,9.32
Switzerland,North America,2022,March,Leisure,238577,423493.22,411474.1,1364.67,75313.54,17011.07,1237,63719,1.79
Australia,North America,2021,August,Leisure,77604,327007.18,109049.21,1019.15,133248.84,32076.55,3703,21903,4.11
UK,Australia,2023,April,Medical,171471,591681.72,56868.42,892.77,122397.69,39989.25,4713,39142,5.6
Spain,Australia,2022,September,Medical,21148,137576.02,181073.49,3116.25,109536.65,6291.76,4243,47611,5.17
